FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource
519269,Boulangerie Maison De Soleil,boulangerie maison de soleil,Restaurant/Cafe/Canteen,"25 Swakeleys Road, Ickenham",UB10 8DF,Hillingdon,-0.444959,51.564476,BAKERY_CAFE,VERIFIED_CANDIDATE
519717,Wenzels the Bakers,wenzels the bakers,Retailers - other,"5 Swakeleys Road, Ickenham",UB10 8DF,Hillingdon,-0.444959,51.564476,CORE_BAKERY,LOCATION_VERIFICATION
1857025,Shell Little Waitrose,shell little waitrose,Retailers - supermarkets/hypermarkets,"53-55 High Road, Ickenham",UB10 8LF,Hillingdon,-0.442698,51.566442,GROCER_BAKERY,LOCATION_VERIFICATION
519478,Costcutter,costcutter,Retailers - other,"132 Ryefield Avenue, Uxbridge",UB10 9DA,Hillingdon,-0.440034,51.544808,GROCER_BAKERY,LOCATION_VERIFICATION
520184,Burrage & Sons Bakery,burrage and sons bakery,Retailers - other,"2 Sutton Court Road, Uxbridge",UB10 9HP,Hillingdon,-0.44936,51.541127,CORE_BAKERY,VERIFIED_CANDIDATE
621539,Morrisons Daily,morrisons daily,Retailers - other,"8 Sutton Court Road, Uxbridge",UB10 9HP,Hillingdon,-0.44936,51.541127,GROCER_BAKERY,LOCATION_VERIFICATION
520193,Bill The Baker,bill the baker,Retailers - other,"317 Long Lane, Hillingdon",UB10 9JU,Hillingdon,-0.449447,51.551712,CORE_BAKERY,VERIFIED_CANDIDATE
520238,Co-Operative Retail Services Ltd,co operative retail services ltd,Retailers - other,"384a Long Lane, Hillingdon",UB10 9PG,Hillingdon,-0.4483519,51.5511235,GROCER_BAKERY,VERIFIED_CANDIDATE
520221,Greggs,greggs,Retailers - other,"370 Long Lane, Uxbridge",UB10 9PG,Hillingdon,-0.448653,51.551297,CORE_BAKERY,LOCATION_VERIFICATION
519183,Greggs,greggs,Retailers - other,"Unit 4 The Arena, 1 Bennetsfield Road, West Drayton",UB11 1AA,Hillingdon,-0.444384,51.512395,CORE_BAKERY,LOCATION_VERIFICATION
580738,Masala Bazaar Approved cold store,masala bazaar approved cold store,Retailers - supermarkets/hypermarkets,"Carmel House, 4f Swallowfield Way, Hayes",UB3 1DQ,Hillingdon,-0.436635,51.50677,GROCER_BAKERY,SUPERMARKET_SUPPLEMENT
682350,"Asda Express PFS Heathrow, Greggs, Subway",asda express pfs heathrow greggs subway,Retailers - other,"Heathrow Service Station, Shepiston Lane, Hayes",UB3 1RW,Hillingdon,-0.446477,51.496173,GROCER_BAKERY,VERIFIED_CANDIDATE
1030146,Lidl,lidl,Retailers - supermarkets/hypermarkets,"1 Central Avenue, Hayes",UB3 2BN,Hillingdon,-0.41873899102211,51.5101089477539,GROCER_BAKERY,LOCATION_VERIFICATION
518687,Sainsbury,sainsbury,Retailers - supermarkets/hypermarkets,"J Sainsbury Plc Lombardy Retail Park, Coldharbour Lane, Hayes",UB3 3EX,Hillingdon,-0.405524,51.516702,GROCER_BAKERY,VERIFIED_CANDIDATE
1646930,Khosha Bakery,khosha bakery,Retailers - other,"3 Broadway Parade, Coldharbour Lane, Hayes",UB3 3HE,Hillingdon,-0.413741,51.510447,CORE_BAKERY,VERIFIED_CANDIDATE
